"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
13,44,4,12,10,19,0,"1",12
13,45,5,80,59,19,30,"-1",50
13,46,5,99,89,45,30,"-1",69
13,47,2,23,25,20,0,"-1",23
13,48,2,0,15,18,1,"1",-1
13,49,4,0,19,11,10,"1",-10
13,50,4,50,55,38,50,"-1",0
13,51,3,49,23,26,50,"-1",-1
14,1,4,50,40,26,35,"-1",15
14,2,4,15,20,20,15,"1",0
14,3,4,0,15,29,0,"1",0
14,4,3,100,90,78,100,"-1",0
14,5,4,5,25,56,5,"1",0
14,6,4,25,45,29,10,"1",15
14,7,4,25,65,45,10,"1",15
14,8,3,20,50,75,15,"1",5
14,9,4,10,15,29,10,"1",0
14,10,4,20,30,56,20,"1",0
14,11,5,30,25,31,35,"1",-5
14,12,3,100,70,78,100,"-1",0
14,13,5,0,18,22,0,"1",0
14,14,2,5,30,41,5,"1",0
14,15,2,15,20,60,10,"1",5
14,16,2,5,10,26,5,"1",0
14,17,2,0,15,43,5,"1",-5
14,18,2,5,25,82,5,"1",0
14,19,2,0,10,21,0,"1",0
14,20,2,0,15,40,0,"1",0
14,21,2,15,25,35,10,"1",5
14,22,2,75,75,60,65,"-1",10
14,23,2,10,45,71,10,"1",0
14,24,3,5,5,14,5,"1",0
14,25,3,50,50,14,20,"-1",30
14,26,3,10,20,29,20,"1",-10
14,27,2,0,22,45,0,"1",0
14,28,3,20,20,20,15,"0",5
14,29,2,85,85,66,80,"-1",5
14,30,3,50,40,48,25,"-1",25
14,31,3,100,85,19,0,"-1",100
14,32,4,100,45,33,100,"-1",0
14,33,4,100,75,15,100,"-1",0
14,34,2,0,10,80,0,"1",0
14,35,2,0,12,17,10,"1",-10
14,36,3,80,80,26,40,"-1",40
14,37,3,75,75,30,30,"-1",45
14,38,2,100,100,71,100,"-1",0
