"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
31,1,3,19,12,26,60,"1",-41
31,4,3,70,80,78,95,"1",-25
31,8,3,20,30,75,80,"1",-60
31,12,3,98,91,78,88,"-1",10
31,16,3,78,22,26,70,"-1",8
31,21,3,15,15,35,30,"1",-15
31,24,3,1,5,14,1,"1",0
31,25,3,98,70,14,97,"-1",1
31,26,3,99,92,29,90,"-1",9
31,28,3,40,30,20,30,"-1",10
31,29,3,80,70,66,80,"-1",0
31,34,3,80,71,80,90,"0",-10
31,36,3,60,40,26,50,"-1",10
31,38,3,99,94,71,87,"-1",12
31,39,3,13,30,43,5,"1",8
31,42,3,33,48,13,11,"-1",22
31,44,3,50,46,19,40,"-1",10
31,45,3,31,33,19,18,"-1",13
31,48,3,88,37,18,80,"-1",8
31,49,3,1,18,11,20,"1",-19
31,51,3,35,35,26,30,"-1",5
32,1,3,2,2,26,2,"1",0
32,7,3,0,76,45,1,"1",-1
32,8,3,80,40,75,80,"-1",0
32,12,3,0,76,78,10,"1",-10
32,17,3,50,50,43,67,"-1",-17
32,24,3,5,5,14,12,"1",-7
32,26,3,100,65,29,100,"-1",0
32,27,3,50,24,45,45,"-1",5
32,28,3,20,20,20,20,"0",0
32,31,3,78,56,19,3,"-1",75
32,33,3,23,43,15,30,"-1",-7
32,34,3,23,43,80,15,"1",8
32,39,3,0,10,43,0,"1",0
32,41,3,50,12,17,43,"-1",7
32,42,3,80,64,13,80,"-1",0
32,43,3,10,23,81,80,"1",-70
32,44,3,0,10,19,19,"1",-19
32,50,3,65,56,38,65,"-1",0
33,1,3,20,10,26,20,"1",0
33,4,3,95,90,78,90,"-1",5
33,13,3,1,20,22,1,"1",0
33,20,3,80,50,40,80,"-1",0
33,24,3,40,35,14,10,"-1",30
33,26,3,100,100,29,80,"-1",20
33,27,3,80,70,45,80,"-1",0
33,28,3,30,30,20,20,"-1",10
33,30,3,5,15,48,5,"1",0
33,33,3,99,60,15,99,"-1",0
33,34,3,60,60,80,80,"1",-20
33,35,3,5,40,17,5,"1",0
33,37,3,80,70,30,80,"-1",0
33,40,3,99,80,21,99,"-1",0
33,42,3,5,30,13,10,"1",-5
33,43,3,80,75,81,80,"1",0
33,44,3,20,20,19,20,"-1",0
33,48,3,80,40,18,80,"-1",0
33,50,3,5,30,38,5,"1",0
33,51,3,5,25,26,5,"1",0
34,12,3,100,85,78,100,"-1",0
34,24,3,20,20,14,55,"-1",-35
34,27,3,55,80,45,20,"-1",35
34,28,3,70,70,20,30,"-1",40
34,30,3,5,45,48,5,"1",0
34,33,3,5,10,15,5,"1",0
34,34,3,1,20,80,5,"1",-4
34,35,3,0,55,17,0,"1",0
34,38,3,100,100,71,100,"-1",0
34,40,3,0,10,21,0,"1",0
34,41,3,0,65,17,0,"1",0
34,43,3,25,55,81,45,"1",-20
34,44,3,0,10,19,0,"1",0
34,49,3,5,25,11,10,"1",-5
34,51,3,0,85,26,0,"1",0
35,8,3,99,80,75,80,"-1",19
35,24,3,10,10,14,14,"1",-4
35,26,3,99,60,29,99,"-1",0
35,28,3,14,14,20,14,"1",0
35,33,3,99,30,15,1,"-1",98
35,34,3,1,20,80,20,"1",-19
35,41,3,15,60,17,10,"1",5
35,43,3,90,70,81,1,"-1",89
35,44,3,14,14,19,14,"1",0
35,47,3,1,40,20,1,"1",0
36,3,3,0,19,29,0,"1",0
36,7,3,0,25,45,10,"1",-10
36,8,3,100,100,75,70,"-1",30
36,11,3,30,40,31,20,"1",10
36,13,3,10,0,22,0,"1",10
36,19,3,0,20,21,10,"1",-10
36,24,3,50,50,14,10,"-1",40
36,25,3,5,10,14,10,"1",-5
36,26,3,100,80,29,100,"-1",0
36,27,3,40,60,45,40,"1",0
36,28,3,10,10,20,15,"1",-5
36,31,3,10,50,19,20,"1",-10
36,33,3,75,80,15,30,"-1",45
36,34,3,45,45,80,30,"1",15
36,35,3,40,40,17,40,"-1",0
36,37,3,90,25,30,90,"-1",0
36,39,3,50,89,43,29,"-1",21
36,40,3,10,20,21,10,"1",0
36,41,3,20,20,17,25,"-1",-5
36,42,3,30,40,13,15,"-1",15
36,43,3,0,30,81,100,"1",-100
36,44,3,11,11,19,15,"1",-4
36,46,3,30,75,45,30,"1",0
36,48,3,70,30,18,30,"-1",40
36,49,3,0,30,11,0,"1",0
36,50,3,0,18,38,0,"1",0
36,51,3,0,45,26,0,"1",0
37,1,3,10,10,26,20,"1",-10
37,4,3,0,25,78,0,"1",0
37,6,3,20,20,29,10,"1",10
37,8,3,10,25,75,10,"1",0
37,10,3,5,30,56,10,"1",-5
37,14,3,75,75,41,50,"-1",25
37,21,3,40,40,35,50,"-1",-10
37,24,3,2,2,14,20,"1",-18
37,25,3,70,50,14,50,"-1",20
37,26,3,10,80,29,10,"1",0
37,28,3,30,30,20,20,"-1",10
37,30,3,50,20,48,50,"-1",0
37,31,3,100,15,19,0,"-1",100
37,32,3,100,20,33,100,"-1",0
37,33,3,100,80,15,100,"-1",0
37,34,3,0,15,80,0,"1",0
37,38,3,100,100,71,50,"-1",50
37,40,3,0,15,21,0,"1",0
37,41,3,0,40,17,0,"1",0
37,42,3,0,80,13,0,"1",0
37,43,3,0,10,81,100,"1",-100
37,44,3,10,10,19,20,"1",-10
37,47,3,10,10,20,10,"1",0
37,48,3,70,70,18,40,"-1",30
37,49,3,80,20,11,80,"-1",0
37,50,3,5,5,38,15,"1",-10
37,51,3,50,50,26,30,"-1",20
38,2,3,10,20,20,10,"1",0
38,3,3,10,43,29,10,"1",0
38,4,3,50,20,78,58,"1",-8
38,5,3,25,20,56,20,"1",5
38,8,3,10,16,75,25,"1",-15
38,9,3,10,23,29,10,"1",0
38,10,3,12,27,56,25,"1",-13
38,12,3,75,75,78,78,"1",-3
38,13,3,0,10,22,0,"1",0
38,14,3,60,57,41,50,"-1",10
38,16,3,20,30,26,20,"1",0
38,17,3,25,60,43,27,"1",-2
38,19,3,15,20,21,10,"1",5
38,21,3,50,26,35,56,"-1",-6
